Energy [eV] , n , k
100 , 0.889 , 0.0454
88 , 0.8898 , 0.0554
87.2 , 0.888 , 0.0558
87 , 0.887 , 0.0576
86 , 0.886 , 0.0613
85 , 0.887 , 0.0648
84.5 , 0.888 , 0.0654
84 , 0.888 , 0.0633
83.5 , 0.885 , 0.0637
83 , 0.884 , 0.0653
82 , 0.881 , 0.0682
80 , 0.878 , 0.0752
78 , 0.875 , 0.0818
76 , 0.873 , 0.0871
74 , 0.869 , 0.0927
72 , 0.862 , 0.0997
70 , 0.857 , 0.112
68 , 0.855 , 0.124
66 , 0.856 , 0.136
64 , 0.857 , 0.147
62 , 0.859 , 0.156
60 , 0.863 , 0.162
58 , 0.861 , 0.166
56 , 0.856 , 0.171
54 , 0.848 , 0.18
52 , 0.839 , 0.19
50 , 0.828 , 0.204
49 , 0.821 , 0.213
48 , 0.814 , 0.225
47 , 0.809 , 0.238
46 , 0.805 , 0.254
45 , 0.805 , 0.27
44 , 0.807 , 0.282
43 , 0.807 , 0.292
42 , 0.804 , 0.303
41 , 0.799 , 0.317
40 , 0.795 , 0.334
39 , 0.793 , 0.353
38 , 0.791 , 0.371
37 , 0.788 , 0.391
36 , 0.786 , 0.414
35 , 0.783 , 0.439
34 , 0.779 , 0.473
33 , 0.781 , 0.515
32 , 0.805 , 0.57
31 , 0.851 , 0.593
30.5 , 0.87 , 0.601
30 , 0.887 , 0.603
29.5 , 0.9 , 0.601
29 , 0.905 , 0.599
28 , 0.901 , 0.607
27 , 0.895 , 0.635
26.38 , 0.855 , 0.548
26 , 0.896 , 0.679
25.93 , 0.846 , 0.565
25.3 , 0.846 , 0.6
24.8 , 0.85 , 0.45
24.31 , 0.86 , 0.695
23.86 , 0.872 , 0.74
23.39 , 0.89 , 0.795
22.96 , 0.915 , 0.825
22.54 , 0.95 , 0.84
22.14 , 0.985 , 0.848
21.75 , 1.022 , 0.85
21.38 , 1.055 , 0.842
21.01 , 1.085 , 0.83
20.66 , 1.113 , 0.813
20.33 , 1.134 , 0.795
20 , 1.146 , 0.77
19.68 , 1.153 , 0.75
19.37 , 1.157 , 0.76
19.07 , 1.155 , 0.71
18.79 , 1.14 , 0.7
18.51 , 1.125 , 0.694
18.23 , 1.107 , 0.687
17.97 , 1.088 , 0.68
17.71 , 1.075 , 0.678
17.46 , 1.06 , 0.68
17.22 , 1.05 , 0.68
16.98 , 1.052 , 0.69
16.75 , 1.038 , 0.697
16.53 , 1.033 , 0.704
16.31 , 1.03 , 0.716
16.1 , 1.029 , 0.72
15.9 , 1.028 , 0.73
15.69 , 1.028 , 0.739
15.5 , 1.029 , 0.745
15.31 , 1.03 , 0.752
15.12 , 1.033 , 0.759
14.94 , 1.037 , 0.765
14.76 , 1.041 , 0.77
14.59 , 1.048 , 0.775
14.42 , 1.053 , 0.78
14.25 , 1.061 , 0.784
14.09 , 1.07 , 0.789
13.93 , 1.08 , 0.793
13.78 , 1.09 , 0.798
13.62 , 1.1 , 0.801
13.48 , 1.11 , 0.806
13.33 , 1.121 , 0.809
13.19 , 1.133 , 0.812
13.05 , 1.146 , 0.815
12.92 , 1.159 , 0.819
12.78 , 1.17 , 0.823
12.65 , 1.18 , 0.826
12.52 , 1.19 , 0.831
12.4 , 1.2 , 0.836
12.28 , 1.207 , 0.842
12.16 , 1.21 , 0.848
12.04 , 1.213 , 0.853
11.92 , 1.215 , 0.86
11.81 , 1.217 , 0.865
11.7 , 1.217 , 0.87
11.56 , 1.218 , 0.878
11.48 , 1.218 , 0.885
11.37 , 1.22 , 0.893
11.27 , 1.222 , 0.9
11.17 , 1.223 , 0.907
11.07 , 1.225 , 0.914
10.97 , 1.228 , 0.922
10.88 , 1.232 , 0.927
10.78 , 1.237 , 0.932
10.69 , 1.242 , 0.935
10.6 , 1.247 , 0.942
10.51 , 1.25 , 0.95
10.42 , 1.255 , 0.955
10.33 , 1.25 , 0.962
10.25 , 1.286 , 0.967
10.16 , 1.27 , 0.975
10.08 , 1.275 , 0.982
10 , 1.28 , 0.987
9.919 , 1.285 , .994
9.840 , 1.290 , 1
9.763 , 1.285 , 1.005
9.686 , 1.300 , 1.012
9.611 , 1.304 , 1.017
9.537 , 1.308 , 1.02
9.465 , 1.313 , 1.027
9.393 , 1.318 , 1.032
9.322 , 1.323 , 1.038
9.253 , 1.328 , 1.045
9.184 , 1.333 , 1.050
9.117 , 1.338 , 1.053
9.050 , 1.345 , 1.058
8.984 , 1.350 , 1.063
8.920 , 1.355 , 1.067
8.856 , 1.360 , 1.072
8.551 , 1.386 , 1.089
8.266 , 1.418 , 1.102
7.999 , 1.450 , 1.108
7.749 , 1.483 , 1.106
7.514 , 1.512 , 1.093
7.293 , 1.518 , 1.07
7.085 , 1.500 , 1.07
6.880 , 1.470 , 1.0852
6.702 , 1.442 , 1.107
6.526 , 1.427 , 1.135
6.358 , 1.424 , 1.17
6.199 , 1.427 , 1.215
6.000 , 1.422 , 1.306
