Energy [eV] , n , k
100 , 0.9813 , 0.007
98.34 , 0.9803 , 0.0073
96.86 , 0.9794 , 0.0076
95.37 , 0.9789 , 0.0076
93.93 , 0.9778 , 0.0083
92.53 , 0.977 , 0.0087
91.17 , 0.9761 , 0.0093
89.84 , 0.9747 , 0.0103
82.66 , 0.9634 , 0.0199
77.19 , 0.9608 , 0.0226
72.93 , 0.9562 , 0.0244
68.88 , 0.9509 , 0.0281
65.26 , 0.9458 , 0.0335
61.99 , 0.9416 , 0.0374
59.04 , 0.9386 , 0.0437
56.36 , 0.9328 , 0.0462
53.91 , 0.9271 , 0.052
51.66 , 0.9222 , 0.0578
49.59 , 0.9164 , 0.065
47.69 , 0.9105 , 0.0726
45.92 , 0.9207 , 0.068
44.28 , 0.9175 , 0.075
42.75 , 0.9137 , 0.082
43.33 , 0.913 , 0.09
40 , 0.907 , 0.092
38.75 , 0.901 , 0.094
37.57 , 0.895 , 0.098
36.47 , 0.888 , 0.107
35.42 , 0.882 , 0.113
34.44 , 0.877 , 0.12
33.51 , 0.87 , 0.128
32.63 , 0.866 , 0.137
31.79 , 0.858 , 0.144
31 , 0.851 , 0.156
30.24 , 0.845 , 0.169
29.52 , 0.839 , 0.18
28.83 , 0.833 , 0.19
28.19 , 0.827 , 0.202
27.55 , 0.822 , 0.218
26.95 , 0.817 , 0.233
26.38 , 0.813 , 0.25
25.83 , 0.808 , 0.27
25.3 , 0.804 , 0.282
25 , 0.733 , 0.325
24.8 , 0.803 , 0.3
24.31 , 0.804 , 0.322
24 , 0.753 , 0.375
23.84 , 0.806 , 0.343
23.39 , 0.811 , 0.366
23 , 0.774 , 0.434
22.96 , 0.817 , 0.385
22.54 , 0.822 , 0.408
22.14 , 0.829 , 0.43
22 , 0.797 , 0.48
21.75 , 0.833 , 0.45
21.38 , 0.843 , 0.47
21.01 , 0.851 , 0.482
21 , 0.827 , 0.53
20.66 , 0.862 , 0.497
20 , 0.859 , 0.585
19.5 , 0.879 , 0.613
19 , 0.902 , 0.645
18.5 , 0.927 , 0.677
18 , 0.957 , 0.712
17.75 , 0.975 , 0.731
17.5 , 0.999 , 0.75
17.25 , 1.03 , 0.763
17 , 1.072 , 0.768
16.76 , 1.124 , 0.765
16.5 , 1.137 , 0.755
16.25 , 1.156 , 0.737
16 , 1.172 , 0.717
15.75 , 1.178 , 0.703
15.5 , 1.172 , 0.696
15.25 , 1.167 , 0.699
15 , 1.168 , 0.711
14.75 , 1.175 , 0.739
14.5 , 1.195 , 0.771
14.25 , 1.225 , 0.799
14 , 1.265 , 0.808
13.75 , 1.362 , 0.795
13.5 , 1.363 , 0.775
13.25 , 1.371 , 0.755
13 , 1.368 , 0.747
12.75 , 1.372 , 0.766
12.5 , 1.383 , 0.793
12.25 , 1.41 , 0.824
12 , 1.475 , 0.861
11.8 , 1.554 , 0.874
11.6 , 1.635 , 0.859
11.4 , 1.716 , 0.71
11.2 , 1.766 , 0.718
11 , 1.739 , 0.569
10.9 , 1.687 , 0.565
10.8 , 1.587 , 0.618
10.7 , 1.513 , 0.725
10.6 , 1.492 , 0.914
10.5 , 1.567 , 1.11
10.45 , 1.645 , 1.136
10.4 , 1.772 , 1.13
10.35 , 1.919 , 1.045
10.3 , 2.048 , 0.925
10.25 , 2.152 , 0.81
10.2 , 2.24 , 0.715
10.1 , 2.332 , 0.45
10 , 2.33 , 0.323
9.9 , 2.292 , .236
9.8 , 2.243 , .168
9.7 , 2.18 , .119
9.6 , 2.14 , .077
9.5 , 2.092 , .0561
9.4 , 2.047 , .043
9.3 , 2.006 , .0339
9.2 , 1.969 , .0271
9.1 , 1.935 , .0228
9.0 , 1.904 , .0189
8.9 , 1.876 , .0153
8.7 , 1.85 , .0132
8.6 , 1.825 , .0109
8.5 , 1.803 , .008387
8.4 , 1.783 , .00557
8.3 , 1.764 , .00317
8.2 , 1.747 , .0014
8.1 , 1.73 , .000463
8 , 1.716 , .00102
7.8 , 1.702 , .000063
7.6 , 1.676 , 0
7.4 , 1.653 , 0
7.2 , 1.633 , 0
7.0 , 1.616 , 0
6.75 ,1.6 , 0
6.5 , 1.582 ,   0 
6.25 ,1.567 , 0
6 , 1.554 , 0
